LOAN,MORTDUE,VALUE,YOJ,DEROG,DELINQ,CLAGE,NINQ,CLNO,DEBTINC,REASON_HomeImp,JOB_Office,JOB_Other,JOB_ProfExe,JOB_Sales,JOB_Self,TARGET
1100,25860.0,39025.0,10.5,0.0,0.0,94.36666667,1.0,9.0,34.81826182,1,0,1,0,0,0,1
1300,70053.0,68400.0,7.0,0.0,2.0,121.8333333,0.0,14.0,34.81826182,1,0,1,0,0,0,1
1500,13500.0,16700.0,4.0,0.0,0.0,149.4666667,1.0,10.0,34.81826182,1,0,1,0,0,0,1
1500,65019.0,89235.5,7.0,0.0,0.0,173.4666667,0.0,21.29609620076682,34.81826182,0,0,1,0,0,0,1
1700,97800.0,112000.0,3.0,0.0,0.0,93.33333333,0.0,14.0,34.81826182,1,1,0,0,0,0,0
1700,30548.0,40320.0,9.0,0.0,0.0,101.4660019,1.0,8.0,37.11361356,1,0,1,0,0,0,1
1800,48649.0,57037.0,5.0,3.0,2.0,77.1,1.0,17.0,34.81826182,1,0,1,0,0,0,1
1800,28502.0,43034.0,11.0,0.0,0.0,88.76602988,0.0,8.0,36.88489409,1,0,1,0,0,0,1
2000,32700.0,46740.0,3.0,0.0,2.0,216.9333333,1.0,12.0,34.81826182,1,0,1,0,0,0,1
2000,65019.0,62250.0,16.0,0.0,0.0,115.8,0.0,13.0,34.81826182,1,0,0,0,1,0,1
2000,22608.0,89235.5,18.0,0.0,0.0,173.4666667,0.0,21.29609620076682,34.81826182,0,0,1,0,0,0,1
2000,20627.0,29800.0,11.0,0.0,1.0,122.5333333,1.0,9.0,34.81826182,1,1,0,0,0,0,1
2000,45000.0,55000.0,3.0,0.0,0.0,86.06666667,2.0,25.0,34.81826182,1,0,1,0,0,0,1
2000,64536.0,87400.0,2.5,0.0,0.0,147.1333333,0.0,24.0,34.81826182,0,0,0,0,0,0,0
2100,71000.0,83850.0,8.0,0.0,1.0,123.0,0.0,16.0,34.81826182,1,0,1,0,0,0,1
2200,24280.0,34687.0,7.0,0.0,1.0,300.8666667,0.0,8.0,34.81826182,1,0,1,0,0,0,1
2200,90957.0,102600.0,7.0,2.0,6.0,122.9,1.0,22.0,34.81826182,1,0,0,0,0,0,1
2200,23030.0,89235.5,19.0,0.0,0.0,173.4666667,0.0,21.29609620076682,3.7113123,0,0,1,0,0,0,1
2300,28192.0,40150.0,4.5,0.0,0.0,54.6,1.0,16.0,34.81826182,1,0,1,0,0,0,1
2300,102370.0,120953.0,2.0,0.0,0.0,90.99253347,0.0,13.0,31.58850318,1,1,0,0,0,0,0
2300,37626.0,46200.0,3.0,0.0,1.0,122.2666667,1.0,14.0,34.81826182,1,0,1,0,0,0,1
