TARGET,LOAN,MORTDUE,VALUE,YOJ,DEROG,DELINQ,CLAGE,NINQ,CLNO,DEBTINC,REASON_HomeImp,JOB_Office,JOB_Other,JOB_ProfExe,JOB_Sales,JOB_Self
1,1100,25860.0,39025.0,10.5,0.0,0.0,94.36666667,1.0,9.0,34.81826182,1,0,1,0,0,0
1,1300,70053.0,68400.0,7.0,0.0,2.0,121.8333333,0.0,14.0,34.81826182,1,0,1,0,0,0
1,1500,13500.0,16700.0,4.0,0.0,0.0,149.4666667,1.0,10.0,34.81826182,1,0,1,0,0,0
1,1500,65019.0,89235.5,7.0,0.0,0.0,173.4666667,0.0,21.29609620076682,34.81826182,0,0,1,0,0,0
1,1700,30548.0,40320.0,9.0,0.0,0.0,101.4660019,1.0,8.0,37.11361356,1,0,1,0,0,0
1,1800,48649.0,57037.0,5.0,3.0,2.0,77.1,1.0,17.0,34.81826182,1,0,1,0,0,0
1,1800,28502.0,43034.0,11.0,0.0,0.0,88.76602988,0.0,8.0,36.88489409,1,0,1,0,0,0
1,2000,32700.0,46740.0,3.0,0.0,2.0,216.9333333,1.0,12.0,34.81826182,1,0,1,0,0,0
1,2000,65019.0,62250.0,16.0,0.0,0.0,115.8,0.0,13.0,34.81826182,1,0,0,0,1,0
1,2000,22608.0,89235.5,18.0,0.0,0.0,173.4666667,0.0,21.29609620076682,34.81826182,0,0,1,0,0,0
1,2000,20627.0,29800.0,11.0,0.0,1.0,122.5333333,1.0,9.0,34.81826182,1,1,0,0,0,0
1,2000,45000.0,55000.0,3.0,0.0,0.0,86.06666667,2.0,25.0,34.81826182,1,0,1,0,0,0
1,2100,71000.0,83850.0,8.0,0.0,1.0,123.0,0.0,16.0,34.81826182,1,0,1,0,0,0
1,2200,24280.0,34687.0,7.0,0.0,1.0,300.8666667,0.0,8.0,34.81826182,1,0,1,0,0,0
1,2200,90957.0,102600.0,7.0,2.0,6.0,122.9,1.0,22.0,34.81826182,1,0,0,0,0,0
1,2200,23030.0,89235.5,19.0,0.0,0.0,173.4666667,0.0,21.29609620076682,3.7113123,0,0,1,0,0,0
1,2300,28192.0,40150.0,4.5,0.0,0.0,54.6,1.0,16.0,34.81826182,1,0,1,0,0,0
1,2300,37626.0,46200.0,3.0,0.0,1.0,122.2666667,1.0,14.0,34.81826182,1,0,1,0,0,0
1,2400,50000.0,73395.0,5.0,1.0,0.0,173.4666667,1.0,0.0,34.81826182,1,0,0,1,0,0
1,2400,28000.0,40800.0,12.0,0.0,0.0,67.2,2.0,22.0,34.81826182,1,0,0,0,0,0
1,2400,18000.0,89235.5,22.0,0.0,2.0,121.7333333,0.0,10.0,34.81826182,1,0,0,0,0,0
1,2400,65019.0,17180.0,7.0,0.0,0.0,14.56666667,3.0,4.0,34.81826182,1,0,1,0,0,0
1,2400,34863.0,47471.0,12.0,0.0,0.0,70.49108003,1.0,21.0,38.26360073,1,0,0,0,0,0
1,2500,15000.0,20200.0,18.0,0.0,0.0,136.0666667,1.0,19.0,34.81826182,1,0,1,0,0,0
1,2500,25116.0,36350.0,10.0,1.0,2.0,276.9666667,0.0,9.0,34.81826182,1,0,1,0,0,0
1,2800,50795.0,63100.0,26.0,2.0,15.0,145.6333333,3.0,45.0,34.81826182,1,0,0,0,0,1
1,2800,4000.0,60850.0,16.0,4.0,0.0,112.6333333,2.0,9.0,34.81826182,1,0,1,0,0,0
1,2900,78600.0,113000.0,6.0,1.0,0.0,165.3333333,2.0,26.0,34.81826182,0,0,0,1,0,0
1,2900,7750.0,67996.0,16.0,3.0,0.0,122.2046628,2.0,8.0,36.211348,1,0,1,0,0,0
1,2900,61962.0,70915.0,2.0,0.0,0.0,282.8016592,3.0,37.0,49.20639579,0,0,0,0,0,0
1,3000,7000.0,20300.0,3.0,0.0,0.0,50.8,5.0,9.0,34.81826182,1,0,1,0,0,0
1,3000,65019.0,8800.0,2.0,0.0,1.0,77.76666667,0.0,3.0,34.81826182,1,0,1,0,0,0
1,3000,65019.0,33000.0,1.0,0.0,1.0,23.3,1.0,2.0,34.81826182,1,0,1,0,0,0
1,3000,119826.0,193500.0,8.0,0.0,0.0,130.0333585,0.0,27.0,34.81826182,1,0,1,0,0,0
1,3000,20000.0,29750.0,2.0,0.0,0.0,187.0666667,0.0,12.0,34.81826182,0,0,1,0,0,0
1,3000,65019.0,14500.0,3.0,0.0,0.0,9.3,14.0,2.0,34.81826182,1,0,1,0,0,0
1,3000,65019.0,14100.0,1.0,0.0,0.0,104.2,0.0,19.0,34.81826182,1,0,1,0,0,0
1,3000,47000.0,82700.0,10.0,0.0,1.0,262.1666667,5.0,26.0,34.81826182,1,0,0,1,0,0
1,3000,34542.0,45900.0,8.5,0.0,2.0,62.36666667,0.0,10.0,34.81826182,1,0,0,0,0,0
1,3100,39589.0,36100.0,1.5,0.0,0.0,153.1666667,1.0,14.0,34.81826182,1,0,1,0,0,0
1,3200,48603.0,61000.0,28.0,0.0,4.0,122.0333333,1.0,25.0,34.81826182,1,0,0,1,0,0
1,3200,27200.0,40834.0,7.0,0.0,0.0,298.131564,0.0,7.0,35.55353879,1,0,1,0,0,0
1,3200,54000.0,64850.0,1.0,0.0,0.0,121.8666667,3.0,21.0,34.81826182,1,0,1,0,0,0
1,3200,23159.0,89235.5,20.0,0.0,2.0,117.8057478,0.0,9.0,0.524499215,1,0,0,0,0,0
1,3300,126541.0,134527.0,9.0,1.0,0.0,139.0,0.0,36.0,34.81826182,1,0,0,0,1,0
1,3300,130518.0,164317.0,9.0,0.0,6.0,192.289149,0.0,33.0,35.73055919,0,0,1,0,0,0
1,3400,37000.0,52000.0,2.0,0.0,1.0,183.2999156,0.0,6.0,34.81826182,1,1,0,0,0,0
1,3500,23200.0,38666.0,11.0,0.0,0.0,162.3666667,0.0,14.0,34.81826182,1,0,1,0,0,0
1,3500,19400.0,20494.0,5.0,0.0,0.0,95.93333333,0.0,9.0,34.81826182,1,0,1,0,0,0
